SchemaName,TableName,IndexName,IsUnique,IsPrimaryKey,IndexType,KeyColumns,IncludedColumns,FilterDefinition
dbo,TeamInvitations,IX_TeamInvitations_Invited,NO,NO,NONCLUSTERED,"InvitedAccountID, Status",,
dbo,TeamInvitations,PK_TeamInvitations,YES,YES,CLUSTERED,InvitationID,,
dbo,TeamInvitations,UX_TeamInvitations_Pending_Team_Account,YES,NO,NONCLUSTERED,"TeamID, InvitedAccountID",,Status = N'PENDING'
dbo,TeamJoinRequests,IX_TeamJoinRequests_Requester,NO,NO,NONCLUSTERED,"RequesterAccountID, Status",,
dbo,TeamJoinRequests,PK_TeamJoinRequests,YES,YES,CLUSTERED,JoinRequestID,,
dbo,TeamJoinRequests,UX_TeamJoinRequests_Pending_Team_Account,YES,NO,NONCLUSTERED,"TeamID, RequesterAccountID",,Status = N'PENDING'
dbo,TeamMembers,IX_TeamMembers_Account,NO,NO,NONCLUSTERED,"AccountID, MemberStatus",,
dbo,TeamMembers,PK_TeamMembers,YES,YES,CLUSTERED,TeamMemberID,,
dbo,TeamMembers,UX_TeamMembers_Active_Team_Account,YES,NO,NONCLUSTERED,"TeamID, AccountID",,MemberStatus = N'ACTIVE'
dbo,Teams,IX_Teams_Captain,NO,NO,NONCLUSTERED,CaptainAccountID,,
dbo,Teams,IX_Teams_Sport,NO,NO,NONCLUSTERED,SportID,,
dbo,Teams,IX_Teams_Status,NO,NO,NONCLUSTERED,Status,,
dbo,Teams,PK_Teams,YES,YES,CLUSTERED,TeamID,,
dbo,TheGiuXe,PK_TheGiuXe,YES,YES,CLUSTERED,TheID,,
dbo,ThongBao,IX_ThongBao_AccountID_ThoiGian,NO,NO,NONCLUSTERED,"DaDoc, IsDeleted, AccountID, ThoiGianGui",,
dbo,ThongBao,IX_ThongBao_Unread,NO,NO,NONCLUSTERED,"AccountID, DaDoc",,
dbo,ThongBao,PK_ThongBao,YES,YES,CLUSTERED,ThongBaoID,,
dbo,ThongBao,UQ_ThongBao_Account_Loai_MaBanGhi,YES,NO,NONCLUSTERED,"AccountID, LoaiThongBao, MaBanGhi",,
dbo,YeuCauNghi,PK_YeuCauNghi,YES,YES,CLUSTERED,YeuCauNghiID,,
dbo,YeuCauNghi,idx_YeuCauNghi_AccountID,NO,NO,NONCLUSTERED,AccountID,,
dbo,YeuCauNghi,idx_YeuCauNghi_CoSoID_TrangThai,NO,NO,NONCLUSTERED,"CoSoID, TrangThai",,
dbo,YeuCauNghi,idx_YeuCauNghi_NgayNghi,NO,NO,NONCLUSTERED,NgayNghi,,
dbo,YeuCauNghi,idx_YeuCauNghi_TrangThai,NO,NO,NONCLUSTERED,TrangThai,,
dbo,YeuCauNghi_Audit,PK_YeuCauNghi_Audit,YES,YES,CLUSTERED,AuditID,,
dbo,YeuCauNghi_Audit,idx_YeuCauNghiAudit_YeuCauNghiID,NO,NO,NONCLUSTERED,YeuCauNghiID,,
dbo,YeuCauSOS,PK_YeuCauSOS,YES,YES,CLUSTERED,YeuCauSOSID,,
dbo,YeuCauUngLuong,IX_YeuCauUngLuong_Account,NO,NO,NONCLUSTERED,"AccountID, CreatedAt DESC",,
dbo,YeuCauUngLuong,IX_YeuCauUngLuong_CoSo_TrangThai,NO,NO,NONCLUSTERED,"CoSoID, TrangThai, CreatedAt DESC",,
dbo,YeuCauUngLuong,PK_YeuCauUngLuong,YES,YES,CLUSTERED,YeuCauUngLuongID,,
