SchemaName,TableName,OrdinalPosition,ColumnName,VietnameseColumnName,DataType,FullDataType,MaxLength,Precision,Scale,IsNullable,DefaultValue,IsIdentity,IdentitySeed,IdentityIncrement,IsComputed,ComputedDefinition,IsPrimaryKey,PrimaryKeyOrder,IsForeignKey,ForeignKeyName,ReferencedSchema,ReferencedTable,ReferencedColumn,IsUnique,CheckConstraint,BusinessDescription,SourceOfTruth,Notes
dbo,AuditLog,5,CoSoID,Mã cơ sở,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,6,Action,Hành động (checkin/checkout),NVARCHAR,NVARCHAR(100),100,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,7,EntityType,EntityType,NVARCHAR,NVARCHAR(100),100,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,8,EntityID,mã Entity,NVARCHAR,NVARCHAR(50),50,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,9,EntityName,EntityName,NVARCHAR,NVARCHAR(500),500,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,10,Details,Details,NVARCHAR,NVARCHAR(MAX),MAX,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,11,IpAddress,IpAddress,NVARCHAR,NVARCHAR(50),50,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,12,CreatedAt,Thời điểm tạo,DATETIME2,DATETIME2,,,,NO,(getdate()),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,BangLuong,1,BangLuongID,Mã bảng lương,INT,INT,,10,0,YES,,YES,1,1,NO,,YES,1,NO,,,,,YES,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,2,KyLuongID,Mã kỳ lương,INT,INT,,10,0,NO,,NO,,,NO,,NO,,YES,FK_BangLuong_KyLuongID,dbo,KyLuong,KyLuongID,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,3,AccountID,Mã tài khoản,INT,INT,,10,0,NO,,NO,,,NO,,NO,,YES,FK_BangLuong_AccountID,dbo,Accounts,AccountID,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,4,LuongCoBan,Lương cơ bản,DECIMAL,"DECIMAL(18,0)",,18,0,NO,0,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,5,TongPhuCap,Tổng phụ cấp,DECIMAL,"DECIMAL(18,0)",,18,0,NO,0,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,6,TongKhauTru,Tổng khấu trừ,DECIMAL,"DECIMAL(18,0)",,18,0,NO,0,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,7,TongLuongThuc,Tổng lương thực nhận,DECIMAL,"DECIMAL(18,0)",,18,0,NO,0,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,8,SoCaLamViec,Số ca làm việc,INT,INT,,10,0,NO,0,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,9,TrangThai,Trạng thái,VARCHAR,VARCHAR(30),30,,,NO,'ChuaTinh',NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,10,GhiChu,Ghi chú,NVARCHAR,NVARCHAR(500),500,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BangLuong,11,CreatedAt,Thời điểm tạo,DATETIME,DATETIME,,,,NO,GETDATE(),NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_salary.sql
dbo,BookingExtension,1,ExtensionID,mã Extension,INT,INT,,10,0,NO,,YES,1,1,NO,,YES,1,NO,,,,,YES,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,BookingExtension,2,DatSanID,Mã đặt sân,INT,INT,,10,0,NO,,NO,,,NO,,NO,,YES,FK_BookingExtension_LichDatSan,dbo,LichDatSan,DatSanID,NO,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,BookingExtension,3,OldGioKetThuc,OldGioKetThuc,TIME,TIME,,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,BookingExtension,4,NewGioKetThuc,NewGioKetThuc,TIME,TIME,,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,BookingExtension,5,OldGioKetThucDateTime,OldGioKetThucDateTime,DATETIME2,DATETIME2,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,BookingExtension,6,NewGioKetThucDateTime,NewGioKetThucDateTime,DATETIME2,DATETIME2,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,BookingExtension,7,AdditionalAmount,AdditionalAmount,DECIMAL,"DECIMAL(18,2)",,18,2,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,BookingExtension,8,OperatorAccountID,mã OperatorAccount,INT,INT,,10,0,NO,,NO,,,NO,,NO,,YES,FK_BookingExtension_Operator,dbo,Accounts,AccountID,NO,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,BookingExtension,9,CreatedAt,Thời điểm tạo,DATETIME2,DATETIME2,,,,NO,GETDATE(),NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL,Từ sql/migration_booking_extension.sql
dbo,CaLamViec,1,CaLamViecID,Mã ca làm việc,INT,INT,,10,0,NO,,YES,1,1,NO,,YES,1,NO,,,,,YES,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,2,AccountID,Mã tài khoản,INT,INT,,10,0,NO,,NO,,,NO,,NO,,YES,FK_Ca_Account,dbo,Accounts,AccountID,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,3,CoSoID,Mã cơ sở,INT,INT,,10,0,NO,,NO,,,NO,,NO,,YES,FK_Ca_CoSo,dbo,CoSo,CoSoID,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,4,NgayLam,Ngày làm,DATE,DATE,,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,5,GioBatDau,Giờ bắt đầu,TIME,TIME,,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,6,GioKetThuc,Giờ kết thúc,TIME,TIME,,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,7,GhiChu,Ghi chú,NVARCHAR,NVARCHAR(255),255,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,8,Thu,Thứ trong tuần,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,9,IsPublished,Đã công bố,BIT,BIT,,,,NO,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,10,TenCa,Tên ca,NVARCHAR,NVARCHAR(50),50,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,11,ViTri,Vị trí,NVARCHAR,NVARCHAR(50),50,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,12,TrangThai,Trạng thái,VARCHAR,VARCHAR(30),30,,,NO,('Draft'),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,13,GioNghi,Giờ nghỉ giữa ca (phút),INT,INT,,10,0,NO,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,14,IsDeleted,Đã xóa mềm,BIT,BIT,,,,NO,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,15,DeletedAt,Thời điểm xóa,DATETIME,DATETIME,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,16,DeletedBy,Người xóa,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,17,IsCustomTime,Ca giờ tùy chỉnh,BIT,BIT,,,,NO,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,18,CustomTimeReason,Lý do giờ tùy chỉnh,NVARCHAR,NVARCHAR(255),255,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec,19,FaceVerified,Đã xác thực khuôn mặt,BIT,BIT,,,,NO,0,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration src/main/resources/migration_face_attendance.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,CaLamViec,20,FaceCheckInImage,Ảnh check-in,NVARCHAR,NVARCHAR(500),500,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration src/main/resources/migration_face_attendance.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
